id,total,w,b,o
250250707001,1611,558,738,315
250250707002,1376,938,263,175
250250708001,1534,836,420,278
250250708002,1173,862,60,251
250250708003,985,777,96,112
250250709001,2092,1267,270,555
250250709002,1113,280,417,416
250250711011,1719,813,223,683
250250711012,1362,849,222,291
250250711013,943,107,224,612
250250712011,1868,901,322,645
250250712012,1477,197,536,744
250250801001,2176,479,967,730
250250801002,688,92,530,66
250250803001,2049,95,1223,731
250250804011,1355,115,769,471
250250804012,1484,79,876,529
250250805001,890,111,365,414
250250805002,2183,20,937,1226
250250806011,2909,1816,297,796
250250806012,755,0,461,294
250250806013,474,34,300,140
250250808011,2234,960,535,739
250250808012,1764,214,750,800
250250809001,911,547,55,309
250250809002,1739,1243,310,186
250250809003,1100,905,43,152
250250810011,441,77,50,314
250250810012,2495,810,411,1274
250250810013,669,558,57,54
250250810014,1079,699,292,88
250250811001,1582,921,129,532
250250811002,1977,1064,375,538
250250811003,996,723,115,158
250250812001,2417,82,1336,999
250250812002,1111,372,66,673
250250813001,1972,354,474,1144
250250813002,2268,157,1490,621
250250813003,1328,138,382,808
250250814001,1007,228,552,227
250250814002,656,152,371,133
250250814003,1256,567,468,221
250250815001,851,187,378,286
250250815002,1344,57,998,289
250250817001,496,0,378,118
250250817002,632,0,586,46
250250817003,1082,31,649,402
250250817004,605,23,467,115
250250817005,622,60,418,144
250250818001,1281,4,942,335
250250818002,1246,37,1006,203
250250818003,673,0,483,190
250250819001,699,0,592,107
250250819002,884,0,595,289
250250819003,717,3,448,266
250250819004,842,0,736,106
250250820001,1022,12,975,35
250250820002,678,0,476,202
250250820003,1019,10,839,170
250250821001,1152,7,908,237
250250821002,1774,0,1140,634
250250821003,2087,71,1305,711
250250901001,1537,9,1065,463
250250901002,916,19,588,309
250250901003,995,135,563,297
250250901004,1186,40,1047,99
250250901005,498,13,462,23
250250902001,592,7,215,370
250250902002,823,23,338,462
250250902003,1111,0,340,771
250250903001,855,0,545,310
250250903002,1737,0,921,816
250250903003,1056,0,927,129
250250904001,579,19,364,196
250250904002,1510,98,887,525
250250904003,526,27,390,109
250250904004,798,0,442,356
250250906001,915,53,608,254
250250906002,1184,60,767,357
250250907001,1344,584,7,753
250250907002,1272,856,91,325
250250907003,1255,658,246,351
250250907004,676,287,53,336
250250909011,1806,412,394,1000
250250909012,1894,647,252,995
250250910011,809,80,328,401
250250910012,853,397,62,394
250250910013,584,558,7,19
250250910014,888,726,9,153
250250911001,1612,1000,69,543
250250911002,997,529,142,326
250250911003,1133,584,9,540
250250911004,596,324,44,228
250250911005,962,422,6,534
250250912001,1001,419,132,450
250250912002,1566,442,475,649
250250912003,600,248,177,175
250250913001,1579,193,590,796
250250913002,1004,71,435,498
250250914001,1592,191,672,729
250250914002,1016,70,511,435
250250915001,1909,243,503,1163
250250915002,1573,72,547,954
250250915003,1134,119,492,523
250250916001,1426,249,896,281
250250916002,1551,107,630,814
250250916003,376,47,162,167
250250917001,1443,135,932,376
250250917002,1168,47,433,688
250250917003,1186,4,728,454
250250918001,1366,182,608,576
250250918002,1233,19,393,821
250250918003,1215,19,1039,157
250250919001,988,42,693,253
250250919002,896,131,690,75
250250919003,1367,115,1037,215
250250919004,642,19,612,11
250250920001,1440,80,814,546
250250920002,1653,74,990,589
250250920003,1171,97,650,424
250250920004,1238,22,1064,152
250250921011,1503,462,294,747
250250921012,1788,451,264,1073
250250921013,515,205,109,201
250250921014,859,321,47,491
250250921015,2069,218,680,1171
250250922001,1009,187,273,549
250250922002,790,158,488,144
250250922003,730,185,364,181
250250922004,624,215,242,167
250250923001,706,49,527,130
250250923002,804,0,704,100
250250923003,1228,79,1061,88
250250923004,638,0,585,53
250250924001,533,12,503,18
250250924002,1728,0,1674,54
250250924003,1254,12,1019,223
250250924004,1285,0,826,459
250250924005,793,13,583,197
250251001001,281,0,132,149
250251001002,911,129,620,162
250251001003,1052,0,958,94
250251001004,1088,24,864,200
250251001005,570,17,395,158
250251001006,1485,75,930,480
250251001007,984,10,878,96
250251002001,928,41,726,161
250251002002,674,0,594,80
250251002003,1351,27,1135,189
250251003001,1381,29,1283,69
250251003002,730,70,627,33
250251003003,518,10,470,38
250251003004,783,14,395,374
250251004001,1065,98,777,190
250251004002,1092,327,424,341
250251004003,829,81,705,43
250251004004,1817,68,1558,191
250251005001,1332,141,615,576
250251005002,1017,515,401,101
250251005003,862,111,530,221
250251005004,1934,29,1728,177
250251005005,1440,19,1071,350
250251006011,1242,657,301,284
250251006012,701,461,116,124
250251006013,1177,260,417,500
250251006014,2286,607,751,928
250251006031,1191,925,144,122
250251006032,852,559,207,86
250251007001,805,700,24,81
250251007002,1291,1249,34,8
250251007003,634,633,0,1
250251007004,1098,1064,0,34
250251007005,641,510,131,0
250251008001,592,206,49,337
250251008002,1455,917,228,310
250251008003,1053,380,560,113
250251008004,1320,756,419,145
250251008005,757,458,195,104
250251008006,1203,622,438,143
250251009001,809,229,326,254
250251009002,596,171,82,343
250251009003,1308,251,756,301
250251009004,772,0,701,71
250251009005,687,216,462,9
250251010011,1121,19,1072,30
250251010012,759,30,686,43
250251010013,774,0,748,26
250251010014,801,0,760,41
250251010015,1208,40,1107,61
250251010016,1068,22,933,113
250251010021,798,48,471,279
250251010022,2144,78,1862,204
250251010023,1859,100,1588,171
250251011011,917,0,725,192
250251011012,1266,6,1228,32
250251011013,1540,27,1400,113
250251011021,899,0,861,38
250251011022,1591,81,1105,405
250251011023,899,0,899,0
250251011024,1751,94,1544,113
250251101031,628,408,143,77
250251101032,987,171,760,56
250251101033,266,52,149,65
250251101034,739,383,45,311
250251101035,1700,888,32,780
250251101036,887,736,83,68
250251101037,1020,173,192,655
250251102011,2244,541,855,848
250251103011,1041,191,350,500
250251103012,1491,667,439,385
250251104011,1932,285,877,770
250251104012,2084,800,625,659
250251104031,1106,127,731,248
250251104032,899,416,238,245
250251104033,582,280,162,140
250251104034,1120,561,251,308
250251104035,1233,530,411,292
250251105011,696,408,80,208
250251105012,1934,1491,331,112
250251105013,969,466,113,390
250251105021,1635,1063,285,287
250251105022,2090,1107,307,676
250251105023,499,334,17,148
250251106011,1817,1625,102,90
250251106012,1058,957,32,69
250251106071,1108,913,19,176
250251106072,1498,1034,94,370
250251106073,1784,1593,4,187
250251106074,899,649,56,194
250251201031,1496,1208,59,229
250251201041,460,375,15,70
250251201042,830,402,135,293
250251201043,881,593,32,256
250251201051,937,580,81,276
250251201052,907,744,37,126
250251201053,574,522,20,32
250251202011,1278,992,83,203
250251202012,2279,831,344,1104
250251202013,515,318,39,158
250251203011,1094,289,303,502
250251203012,1023,258,377,388
250251203013,1779,783,331,665
250251203014,1193,914,145,134
250251204001,700,364,289,47
250251204002,586,372,0,214
250251204003,841,715,42,84
250251204004,2358,1640,229,489
250251204005,1903,1373,170,360
250251205001,854,396,177,281
250251205002,868,369,140,359
250251205003,650,237,114,299
250251206001,795,468,158,169
250251206002,952,820,31,101
250251206003,857,683,39,135
250251207001,858,493,45,320
250251207002,1182,836,26,320
250251301001,1527,1398,0,129
250251301002,1381,778,49,554
250251301003,610,551,0,59
250251301004,787,680,0,107
250251301005,788,699,0,89
250251301006,345,290,8,47
250251301007,608,608,0,0
250251302001,651,645,0,6
250251302002,970,735,27,208
250251302003,1679,1188,29,462
250251302004,744,677,50,17
250251302005,1005,776,0,229
250251303001,1238,1129,0,109
250251303002,1281,1163,5,113
250251303003,698,659,12,27
250251303004,855,629,65,161
250251303005,623,595,5,23
250251304021,835,502,37,296
250251304022,779,634,16,129
250251304023,1309,1024,158,127
250251304024,1181,1170,0,11
250251304025,1006,896,0,110
250251304041,2201,1324,104,773
